@relation test
@attribute id numeric
@attribute Time numeric
@attribute Is_CH numeric
@attribute who_CH numeric
@attribute Dist_To_CH numeric
@attribute ADV_S numeric
@attribute ADV_R numeric
@attribute JOIN_S numeric
@attribute JOIN_R numeric
@attribute SCH_S numeric
@attribute SCH_R numeric
@attribute Rank numeric
@attribute DATA_S numeric
@attribute DATA_R numeric
@attribute Data_Sent_To_BS numeric
@attribute dist_CH_To_BS numeric
@attribute send_code numeric
@attribute Consumed_Energy numeric
@attribute @class@ {0, 1}
@data
106059,303,0,106061,24.90902,0,6,1,0,0,1,16,65,0,0,0,6,0.11116,0
106060,303,0,106027,21.81746,0,6,1,0,0,1,7,90,0,0,0,3,0.15162,0
106061,303,1,106061,0,1,5,0,17,1,0,0,0,1105,65,158.67949,0,2.52585,0
106062,303,0,106030,75.70663,0,6,1,0,0,1,45,28,0,0,0,1,0.05727,0
106063,303,0,106061,14.5893,0,6,1,0,0,1,2,65,0,0,0,6,0.11096,0
106064,303,0,106095,22.79247,0,6,1,0,0,1,4,72,0,0,0,2,0.12314,0
106065,303,0,106030,79.84907,0,6,1,0,0,1,33,28,0,0,0,1,0.05837,0
106066,303,0,106095,6.9793,0,6,1,0,0,1,3,72,0,0,0,2,0.12214,0
106067,303,0,106027,37.68414,0,6,1,0,0,1,6,90,0,0,0,3,0.15494,0
106068,303,0,106095,12.56667,0,6,1,0,0,1,11,72,0,0,0,2,0.12155,0
106069,303,0,106030,53.73837,0,6,1,0,0,1,35,28,0,0,0,1,0.05457,0
106070,303,0,106030,49.96494,0,6,1,0,0,1,7,28,0,0,0,1,0.05495,0
106071,303,0,106030,19.33801,0,6,1,0,0,1,29,28,0,0,0,1,0.0507,0
106072,303,0,106022,23.96934,0,6,1,0,0,1,3,131,0,0,0,4,0.2196,0
106073,303,0,106030,25.5218,0,6,1,0,0,1,28,28,0,0,0,1,0.05109,0
106074,303,0,106030,31.00214,0,6,1,0,0,1,9,28,0,0,0,1,0.05184,0
106075,303,0,106061,22.33165,0,6,1,0,0,1,12,65,0,0,0,6,0.111,0
106076,303,0,106027,13.20457,0,6,1,0,0,1,9,90,0,0,0,3,0.17851,0
106077,303,0,106030,43.90162,0,6,1,0,0,1,1,28,0,0,0,1,0.05448,0
106078,303,0,106030,12.60925,0,6,1,0,0,1,31,28,0,0,0,1,0.05043,0
106079,303,0,106030,22.38602,0,6,1,0,0,1,12,28,0,0,0,1,0.11726,0
106080,303,0,106061,22.52528,0,6,1,0,0,1,5,65,0,0,0,6,0.11155,0
106081,303,0,106061,19.43243,0,6,1,0,0,1,6,65,0,0,0,6,0.11111,0
106082,303,0,106095,7.2176,0,6,1,0,0,1,13,72,0,0,0,2,0.12123,0
106083,303,0,106022,26.55733,0,6,1,0,0,1,1,131,0,0,0,4,0.22066,0
106084,303,0,106095,62.16216,0,6,1,0,0,1,12,72,0,0,0,2,0.13319,0
106085,303,0,106095,47.6507,0,6,1,0,0,1,1,72,0,0,0,2,0.12827,0
106086,303,0,106027,18.41395,0,6,1,0,0,1,5,90,0,0,0,3,0.15124,0
106087,303,0,106030,48.09391,0,6,1,0,0,1,23,28,0,0,0,1,0.05435,0
106088,303,0,106061,17.14783,0,6,1,0,0,1,14,65,0,0,0,6,0.11039,0
106089,303,0,106022,22.11984,0,6,1,0,0,1,6,131,0,0,0,4,0.21847,0
106090,303,0,106095,0.66713,0,6,1,0,0,1,15,72,0,0,0,2,0.12101,0
106091,303,0,106095,46.88387,0,6,1,0,0,1,2,72,0,0,0,2,0.12795,0
106092,303,0,106095,38.69361,0,6,1,0,0,1,8,72,0,0,0,2,0.12551,0
106093,303,0,106030,75.56652,0,6,1,0,0,1,36,28,0,0,0,1,0.05757,0
106094,303,0,106030,56.7358,0,6,1,0,0,1,22,28,0,0,0,1,2.16588,0
106096,303,0,106030,47.36937,0,6,1,0,0,1,15,28,0,0,0,1,0.05442,0
